country,bug_drug,syndrome,model,inc_low,inc_median,inc_high
Austria ,MRSA,BSI,61,2.64,2.79,2.93
Austria ,MRSA,OTH,65,3.73,4.09,4.47
Austria ,MRSA,RESP,62,3.76,4.19,4.6
Austria ,MRSA,SSI,64,4.15,4.56,4.98
Austria ,MRSA,UTI,63,0.57,0.68,0.81
Belgium ,MRSA,BSI,61,4.03,4.25,4.47
Belgium ,MRSA,OTH,65,5.72,6.25,6.81
Belgium ,MRSA,RESP,62,5.79,6.39,7.01
Belgium ,MRSA,SSI,64,6.37,7,7.6
Belgium ,MRSA,UTI,63,0.83,1.04,1.21
Bulgaria ,MRSA,BSI,61,1.36,1.43,1.5
Bulgaria ,MRSA,OTH,65,1.94,2.1,2.3
Bulgaria ,MRSA,RESP,62,1.96,2.15,2.34
Bulgaria ,MRSA,SSI,64,2.14,2.34,2.54
Bulgaria ,MRSA,UTI,63,0.3,0.35,0.41
Croatia ,MRSA,BSI,61,3.04,3.22,3.43
Croatia ,MRSA,OTH,65,4.26,4.78,5.26
Croatia ,MRSA,RESP,62,4.39,4.85,5.35
Croatia ,MRSA,SSI,64,4.77,5.3,5.81
Croatia ,MRSA,UTI,63,0.66,0.79,0.93
Cyprus ,MRSA,BSI,61,8.32,8.82,9.4
Cyprus ,MRSA,OTH,65,11.64,13.02,14.38
Cyprus ,MRSA,RESP,62,11.83,13.31,14.76
Cyprus ,MRSA,SSI,64,12.99,14.5,16.01
Cyprus ,MRSA,UTI,63,1.77,2.18,2.59
Czech Republic ,MRSA,BSI,61,2.7,2.84,2.98
Czech Republic ,MRSA,OTH,65,3.82,4.17,4.56
Czech Republic ,MRSA,RESP,62,3.88,4.27,4.66
Czech Republic ,MRSA,SSI,64,4.25,4.65,5.02
Czech Republic ,MRSA,UTI,63,0.58,0.69,0.81
Denmark ,MRSA,BSI,61,0.51,0.54,0.57
Denmark ,MRSA,OTH,65,0.71,0.8,0.88
Denmark ,MRSA,RESP,62,0.72,0.82,0.91
Denmark ,MRSA,SSI,64,0.8,0.89,0.98
Denmark ,MRSA,UTI,63,0.11,0.13,0.16
Estonia ,MRSA,BSI,61,0.43,0.47,0.5
Estonia ,MRSA,OTH,65,0.59,0.69,0.79
Estonia ,MRSA,RESP,62,0.6,0.7,0.81
Estonia ,MRSA,SSI,64,0.66,0.76,0.87
Estonia ,MRSA,UTI,63,0.08,0.12,0.14
Finland ,MRSA,BSI,61,0.7,0.75,0.79
Finland ,MRSA,OTH,65,0.98,1.1,1.21
Finland ,MRSA,RESP,62,1,1.12,1.24
Finland ,MRSA,SSI,64,1.1,1.23,1.35
Finland ,MRSA,UTI,63,0.15,0.18,0.22
France ,MRSA,BSI,61,7.44,8.12,8.83
France ,MRSA,OTH,65,10.59,12.16,13.8
France ,MRSA,RESP,62,10.8,12.37,14.08
France ,MRSA,SSI,64,11.89,13.42,15.16
France ,MRSA,UTI,63,1.67,2.06,2.49
Germany ,MRSA,BSI,61,2.57,2.84,3.11
Germany ,MRSA,OTH,65,3.68,4.24,4.75
Germany ,MRSA,RESP,62,3.66,4.34,4.9
Germany ,MRSA,SSI,64,4.12,4.72,5.37
Germany ,MRSA,UTI,63,0.58,0.72,0.86
Greece ,MRSA,BSI,61,2.66,2.9,3.19
Greece ,MRSA,OTH,65,3.81,4.32,4.93
Greece ,MRSA,RESP,62,3.85,4.44,5.06
Greece ,MRSA,SSI,64,4.24,4.82,5.45
Greece ,MRSA,UTI,63,0.6,0.75,0.91
Hungary ,MRSA,BSI,61,4.11,4.32,4.52
Hungary ,MRSA,OTH,65,5.73,6.37,6.93
Hungary ,MRSA,RESP,62,5.89,6.48,7.09
Hungary ,MRSA,SSI,64,6.45,7.08,7.69
Hungary ,MRSA,UTI,63,0.88,1.05,1.24
Iceland ,MRSA,OTH,65,NA,NA,NA
Iceland ,MRSA,RESP,62,NA,NA,NA
Iceland ,MRSA,SSI,64,NA,NA,NA
Iceland ,MRSA,UTI,63,NA,NA,NA
Ireland ,MRSA,BSI,61,4.15,4.35,4.57
Ireland ,MRSA,OTH,65,5.86,6.42,6.99
Ireland ,MRSA,RESP,62,5.94,6.58,7.15
Ireland ,MRSA,SSI,64,6.56,7.13,7.75
Ireland ,MRSA,UTI,63,0.89,1.07,1.23
Italy ,MRSA,BSI,61,11.05,12.37,13.75
Italy ,MRSA,OTH,65,15.82,18.66,21.76
Italy ,MRSA,RESP,62,15.93,18.89,21.88
Italy ,MRSA,SSI,64,17.69,20.67,23.98
Italy ,MRSA,UTI,63,2.55,3.22,4.01
Latvia ,MRSA,BSI,61,0.75,0.8,0.85
Latvia ,MRSA,OTH,65,1.04,1.18,1.32
Latvia ,MRSA,RESP,62,1.05,1.21,1.36
Latvia ,MRSA,SSI,64,1.16,1.31,1.45
Latvia ,MRSA,UTI,63,0.15,0.2,0.24
Lithuania ,MRSA,BSI,61,1.18,1.25,1.32
Lithuania ,MRSA,OTH,65,1.67,1.84,1.99
Lithuania ,MRSA,RESP,62,1.69,1.86,2.05
Lithuania ,MRSA,SSI,64,1.86,2.04,2.22
Lithuania ,MRSA,UTI,63,0.25,0.3,0.36
Luxembourg ,MRSA,BSI,61,2.05,2.18,2.32
Luxembourg ,MRSA,OTH,65,2.86,3.22,3.57
Luxembourg ,MRSA,RESP,62,2.89,3.28,3.66
Luxembourg ,MRSA,SSI,64,3.2,3.57,3.98
Luxembourg ,MRSA,UTI,63,0.43,0.54,0.64
Malta ,MRSA,BSI,61,10.08,10.78,11.41
Malta ,MRSA,OTH,65,14.29,15.93,17.65
Malta ,MRSA,RESP,62,14.39,16.29,18.14
Malta ,MRSA,SSI,64,15.72,17.75,19.7
Malta ,MRSA,UTI,63,2.09,2.65,3.18
Netherlands ,MRSA,BSI,61,0.24,0.25,0.27
Netherlands ,MRSA,OTH,65,0.33,0.37,0.41
Netherlands ,MRSA,RESP,62,0.34,0.38,0.42
Netherlands ,MRSA,SSI,64,0.37,0.41,0.45
Netherlands ,MRSA,UTI,63,0.05,0.06,0.07
Norway ,MRSA,BSI,61,0.32,0.34,0.36
Norway ,MRSA,OTH,65,0.45,0.5,0.55
Norway ,MRSA,RESP,62,0.45,0.51,0.56
Norway ,MRSA,SSI,64,0.49,0.55,0.61
Norway ,MRSA,UTI,63,0.07,0.08,0.1
Poland ,MRSA,BSI,61,2.78,2.9,3.03
Poland ,MRSA,OTH,65,3.95,4.28,4.61
Poland ,MRSA,RESP,62,4,4.37,4.75
Poland ,MRSA,SSI,64,4.38,4.75,5.13
Poland ,MRSA,UTI,63,0.59,0.71,0.81
Portugal ,MRSA,BSI,61,16.53,17.38,18.31
Portugal ,MRSA,OTH,65,23.03,25.65,28.11
Portugal ,MRSA,RESP,62,23.54,26.13,28.8
Portugal ,MRSA,SSI,64,25.89,28.55,31.19
Portugal ,MRSA,UTI,63,3.43,4.25,4.99
